bicubic,edsr
8.959294173,49.67059181
8.054269985,36.32035563
16.11440471,39.00850696
15.73725457,35.85976894
10.18477382,41.63472331
16.83645705,49.29519512
9.841122718,42.27661304
6.47419627,42.67701154
30.20374065,42.10754602
12.14892875,41.61767447
22.87669473,47.94309587
16.92737184,43.53976436
32.58366641,42.86498669
12.42726975,39.89590128
8.836070021,37.67173958
10.41881575,41.64371577
21.27086603,47.77933704
21.43812382,48.3428719
20.74526237,50.30351255
6.352221876,49.17513812
19.34871856,38.09847277
12.38720923,41.68534124
9.3044111,50.87979878
8.946534931,47.61997518
24.25121464,45.73704823
23.15473239,48.15361615
6.994455155,49.5959089
26.7428356,32.63943348
32.75740581,41.89527123
17.92377502,39.2414481
29.01993051,48.22968908
34.48453808,50.7777499
23.84686358,41.86978575
23.19516209,48.4120187
12.23381322,41.81531249
39.70414798,45.45716358
30.12790114,33.59069739
14.39673853,48.31193256
17.37726567,39.57349832
30.52669394,47.91374902
10.93539616,41.57501448
23.92458059,41.50564808
25.69525766,32.30577275
18.78634866,39.02348489
22.42399278,32.40214189
12.91495046,34.46703295
24.7506237,50.1904718
22.78231644,49.33891634
24.5270682,42.09399932
24.01397885,41.42091281
6.247870875,49.89371894
19.73052684,42.04864923
11.43449775,50.34874822
16.01781185,42.30701203
10.40421141,34.61460897
38.75841154,45.58677615
27.41981669,48.34444245
8.69743347,50.25929252
31.87539989,41.85098976
33.17209501,39.23770028
26.70913475,42.17577983
4.846371646,43.13955388
15.43353958,43.51626122
12.34033341,39.0987354
31.56278328,35.92116611
4.199527403,50.93000123
10.89334799,49.39549719
20.27303479,33.92604084
26.4485817,48.17755382
16.30287701,33.83539938
8.493546801,49.41909077
32.74709143,39.46244493
22.41088712,41.40757558
16.02003805,39.09901594
28.37212174,33.39877713
18.36290814,37.99366765
8.313131017,42.36102479
40.35391784,48.07101356
17.64238572,39.02396614
11.09100278,42.33969263
10.51191927,50.26778123
40.67935073,44.31449379
12.52965146,37.59292271
11.37979432,50.07101909
6.462289954,50.19011036
17.4155446,37.71579815
34.72041723,42.63524928
11.72305636,41.66207522
37.7612173,48.03347414
6.954094472,50.72223145
11.32471516,37.59144095
35.11376817,46.48376225
23.47731598,35.70274312
23.32893917,49.21669669
31.83397585,36.44596484
5.983441585,44.25382421
30.74353745,34.17682266
12.78897534,37.72667666
42.74318174,46.65318676
17.18916552,39.28392951
19.57148655,42.93373756
